COUNTY|MUNICIPALITY|W/P|CG|SS|SR|CC|D|G|R|U|AL|L|S|TOTAL|
AND|AUBURN|1-1|2|20|62|5|631|132|404|604|0|27|0|1798|
AND|AUBURN|1-1|2|20|64|5|128|20|133|140|0|8|0|429|
AND|AUBURN|1-1|2|20|64|6|333|38|325|366|0|9|0|1071|
AND|AUBURN|2-1|2|20|62|5|209|38|120|244|0|20|0|631|
AND|AUBURN|2-1|2|20|64|5|621|88|402|634|0|18|0|1763|
AND|AUBURN|2-1|2|20|64|6|333|29|291|381|0|9|0|1043|
AND|AUBURN|3-1|2|20|62|5|219|42|119|237|0|27|0|644|
AND|AUBURN|3-1|2|20|63|5|286|30|281|308|0|10|0|915|
AND|AUBURN|3-1|2|20|63|6|405|45|380|520|0|7|0|1357|
AND|AUBURN|3-1|2|20|64|6|95|10|90|124|0|2|0|321|
AND|AUBURN|4-1|2|20|62|5|284|47|129|266|0|17|0|743|
AND|AUBURN|4-1|2|20|63|5|189|29|149|242|0|4|0|613|
AND|AUBURN|4-1|2|20|63|6|406|59|452|482|0|13|0|1412|
AND|AUBURN|5-1|2|20|62|5|388|69|197|461|0|27|0|1142|
AND|AUBURN|5-1|2|20|63|5|450|73|327|513|0|17|0|1380|
AND|AUBURN|5-1|2|20|63|6|157|36|192|323|0|4|0|712|
AND|DURHAM|1-1|2|22|46|3|899|203|1026|1357|0|16|0|3501|
AND|GREENE|1-1|2|22|57|3|870|207|1024|1223|0|27|0|3351|
AND|LEEDS|1-1|2|22|75|7|487|114|506|659|0|6|0|1772|
AND|LEWISTON|1-1|2|21|59|2|803|90|382|556|0|28|0|1859|
AND|LEWISTON|1-1|2|21|60|2|1472|126|323|966|0|43|0|2930|
AND|LEWISTON|2-1|2|21|59|2|1539|174|963|1187|0|36|0|3899|
AND|LEWISTON|3-1|2|21|59|2|653|40|112|345|0|2|0|1152|
AND|LEWISTON|3-1|2|21|60|1|1687|235|418|1405|0|143|0|3888|
AND|LEWISTON|4-1|2|21|58|1|169|21|116|108|0|3|0|417|
AND|LEWISTON|4-1|2|21|58|2|385|55|187|321|0|20|0|968|
AND|LEWISTON|4-1|2|21|58|3|427|55|271|364|0|21|0|1138|
AND|LEWISTON|4-1|2|21|59|2|346|59|201|277|0|10|0|893|
AND|LEWISTON|5-1|2|21|60|2|285|49|151|253|0|10|0|748|
AND|LEWISTON|5-1|2|21|61|1|914|122|188|725|0|149|0|2098|
AND|LEWISTON|6-1|2|21|58|3|1103|168|878|900|0|29|0|3078|
AND|LEWISTON|6-1|2|21|61|1|214|29|99|138|0|11|0|491|
AND|LEWISTON|6-1|2|21|61|3|101|10|58|66|0|1|0|236|
AND|LEWISTON|7-1|2|21|58|1|346|52|211|250|0|11|0|870|
AND|LEWISTON|7-1|2|21|61|1|919|140|544|879|0|75|0|2557|
AND|LISBON|1-1|2|22|56|4|872|110|1037|1297|0|28|0|3344|
AND|LISBON|2-1|2|22|56|4|874|114|1019|1352|0|21|0|3380|
AND|LIVERMORE|1-1|2|18|74|7|341|44|300|299|0|0|0|984|
AND|LIVERMORE|1-1|2|18|75|7|243|48|303|305|0|1|0|900|
AND|LIVERMORE FALLS|1-1|2|18|74|7|608|112|419|766|0|20|0|1925|
AND|MECHANIC FALLS|1-1|2|20|72|6|531|106|591|848|0|16|0|2092|
AND|MINOT|1-1|2|20|64|7|477|127|692|773|0|12|0|2081|
AND|POLAND|1-1|2|20|65|6|645|136|740|937|0|13|0|2471|
AND|POLAND|1-1|2|20|66|6|492|123|586|731|0|6|0|1938|
AND|SABATTUS|1-1|2|22|57|4|1099|207|1079|1464|0|51|0|3900|
AND|TURNER|1-1|2|22|75|7|1065|126|1523|1658|0|28|0|4400|
AND|WALES|1-1|2|22|82|4|205|65|368|428|0|6|0|1072|
ARO|ALLAGASH|1-1|2|1|151|3|100|4|60|87|0|0|0|251|
ARO|AMITY|1-1|2|2|144|1|29|2|62|63|0|0|0|156|
ARO|ASHLAND|1-1|2|1|151|2|253|6|214|413|0|1|0|887|
ARO|BENEDICTA TWP|1-1|2|2|144|1|26|3|46|70|0|0|0|145|
