COUNTY|MUNICIPALITY|W/P|CG|SS|SR|CC|D|G|R|U|AL|L|S|TOTAL|
AND|AUBURN|1-1|2|20|62|5|13|1|10|23|0|0|0|47|
AND|AUBURN|1-1|2|20|64|5|1|0|2|1|0|0|0|4|
AND|AUBURN|1-1|2|20|64|6|0|0|0|1|0|0|0|1|
AND|AUBURN|2-1|2|20|62|5|1|0|0|1|0|0|0|2|
AND|AUBURN|2-1|2|20|64|5|5|2|5|5|0|0|0|17|
AND|AUBURN|2-1|2|20|64|6|0|0|0|2|0|0|0|2|
AND|AUBURN|3-1|2|20|62|5|27|6|9|51|0|0|0|93|
AND|AUBURN|3-1|2|20|63|5|5|0|6|11|0|0|0|22|
AND|AUBURN|3-1|2|20|63|6|4|1|6|9|0|0|0|20|
AND|AUBURN|3-1|2|20|64|6|5|0|1|3|0|0|0|9|
AND|AUBURN|4-1|2|20|62|5|26|8|8|57|0|1|0|100|
AND|AUBURN|4-1|2|20|63|5|4|8|6|21|0|0|0|39|
AND|AUBURN|4-1|2|20|63|6|12|1|13|18|0|0|0|44|
AND|AUBURN|5-1|2|20|62|5|0|0|0|2|0|0|0|2|
AND|AUBURN|5-1|2|20|63|5|0|0|0|0|0|0|0|0|
AND|AUBURN|5-1|2|20|63|6|0|0|1|3|0|0|0|4|
AND|DURHAM|1-1|2|22|46|3|0|0|0|0|0|0|0|0|
AND|GREENE|1-1|2|22|57|3|0|0|0|0|0|0|0|0|
AND|LEEDS|1-1|2|22|75|7|0|0|0|0|0|0|0|0|
AND|LEWISTON|1-1|2|21|59|2|0|0|0|0|0|0|0|0|
AND|LEWISTON|1-1|2|21|60|2|0|0|0|0|0|1|0|1|
AND|LEWISTON|2-1|2|21|59|2|0|0|0|0|0|0|0|0|
AND|LEWISTON|3-1|2|21|59|2|0|0|0|0|0|0|0|0|
AND|LEWISTON|3-1|2|21|60|1|0|1|0|5|0|10|0|16|
AND|LEWISTON|4-1|2|21|58|1|0|0|0|0|0|0|0|0|
AND|LEWISTON|4-1|2|21|58|2|0|0|0|0|0|0|0|0|
AND|LEWISTON|4-1|2|21|58|3|0|0|0|0|0|1|0|1|
AND|LEWISTON|4-1|2|21|59|2|0|0|0|0|0|0|0|0|
AND|LEWISTON|5-1|2|21|60|2|0|0|0|0|0|0|0|0|
AND|LEWISTON|5-1|2|21|61|1|2|1|1|2|0|10|0|16|
AND|LEWISTON|6-1|2|21|58|3|0|0|0|1|0|0|0|1|
AND|LEWISTON|6-1|2|21|61|1|0|0|0|0|0|0|0|0|
AND|LEWISTON|6-1|2|21|61|3|0|0|0|1|0|0|0|1|
AND|LEWISTON|7-1|2|21|58|1|0|0|0|0|0|0|0|0|
AND|LEWISTON|7-1|2|21|61|1|0|0|0|0|0|5|0|5|
AND|LISBON|1-1|2|22|56|4|1|0|0|0|0|0|0|1|
AND|LISBON|2-1|2|22|56|4|0|0|0|0|0|0|0|0|
AND|LIVERMORE|1-1|2|18|74|7|0|0|0|0|0|0|0|0|
AND|LIVERMORE|1-1|2|18|75|7|0|0|0|0|0|0|0|0|
AND|LIVERMORE FALLS|1-1|2|18|74|7|1|0|0|0|0|0|0|1|
AND|MECHANIC FALLS|1-1|2|20|72|6|0|0|0|0|0|0|0|0|
AND|MINOT|1-1|2|20|64|7|2|0|2|2|0|0|0|6|
AND|POLAND|1-1|2|20|65|6|1|0|0|0|0|0|0|1|
